country_or_area,year,Rice Type,flow,quantity(kg)
Thailand,2015,Paddy/Rough Rice,Export,2069
Thailand,2015,Husked Rice,Export,141395122
Thailand,2015,Milled Rice,Export,8617536169
Thailand,2015,Broken Rice,Export,1036831182
Thailand,2014,Paddy/Rough Rice,Export,7406
Thailand,2014,Husked Rice,Export,183379384
Thailand,2014,Milled Rice,Export,9514526260
Thailand,2014,Broken Rice,Export,1271448555
Thailand,2013,Paddy/Rough Rice,Export,10191
Thailand,2013,Husked Rice,Export,80883032
Thailand,2013,Milled Rice,Export,5898992088
Thailand,2013,Broken Rice,Export,632734396
Thailand,2012,Paddy/Rough Rice,Export,894
Thailand,2012,Husked Rice,Export,301221734
Thailand,2012,Milled Rice,Export,5771762908
Thailand,2012,Broken Rice,Export,661441453
Thailand,2011,Paddy/Rough Rice,Export,1312
Thailand,2011,Husked Rice,Export,350338461
Thailand,2011,Milled Rice,Export,9185063259
Thailand,2011,Broken Rice,Export,1170826220
Thailand,2010,Paddy/Rough Rice,Export,11400
Thailand,2010,Husked Rice,Export,338738207
Thailand,2010,Milled Rice,Export,7589515179
Thailand,2010,Broken Rice,Export,1011365476
